# src K queryType(1=count,2=max) expectedResult
44629 1 1 2
67169 2 2 -1
78021 2 1 2
47945 1 1 9
14357 4 1 78293
68673 2 2 72464
76943 4 1 14490
12924 3 2 79692
74071 3 2 80720
30651 3 2 73917
16994 4 1 70076
10800 4 2 81738
63878 1 2 -1
74905 3 2 74906
30573 4 2 81913
5774 4 2 80565
18133 4 2 82124
781 3 1 44358
27624 4 2 82050
39961 1 1 2
81816 4 2 78101
20354 4 2 81140
23648 2 2 65843
18658 2 1 358
48563 3 1 18580
51578 2 1 418
32658 1 1 3
2551 4 2 80506
49159 4 2 -1
33243 1 2 4965
57828 1 2 16148
6710 1 1 187
40846 4 2 81472
37991 2 2 73255
6971 4 2 79118
77067 2 1 9
37711 3 1 20318
65794 3 2 75070
1898 4 2 81387
65031 1 2 15523
17071 3 1 25604
67843 2 2 67846
55661 2 1 441
2591 1 2 14306
63370 2 1 386
54400 3 1 11513
42870 1 1 7
56481 4 2 79600
1125 2 1 2208
26170 3 2 26169
16154 1 1 2
55426 1 2 9029
24217 2 2 72166
32994 1 2 48780
49416 4 2 -1
645 3 2 80943
81835 1 1 1
52142 4 2 80496
18888 1 2 15213
46305 2 1 100
587 4 2 81753
69615 1 2 21258
25556 3 2 73484
45096 3 1 20544
29009 2 1 552
76975 4 2 -1
6416 1 2 50661
18058 2 1 4022
32602 3 1 29675
58067 1 2 -1
1089 3 2 81172
10487 4 1 75066
67494 2 1 261
38547 4 1 76752
21447 3 1 0
75330 4 2 -1
63278 2 1 0
71906 1 1 1
50100 2 2 52992
48781 4 2 81148
23952 3 1 0
50939 1 1 8
10449 3 1 14226
72954 3 1 1157
58810 3 2 75610
15223 2 2 65606
65677 4 1 0
74567 2 1 2
46738 2 1 493
12109 3 2 77949
8472 4 2 80634
61709 2 2 80263
34518 2 2 75236
69624 3 2 73940
15282 3 2 -1
21778 1 2 21781
5075 1 1 4
28365 3 1 26423
11002 4 1 65488
78610 3 2 78611
4493 4 2 78280
34228 1 2 75146
31655 1 2 5856
49416 4 1 0
77175 4 1 8707
46733 3 1 21973
11240 3 2 80683
71363 3 2 -1
50139 4 2 81991
81768 1 2 77444
54869 1 2 31842
70910 3 2 81186
35292 2 1 163
51631 2 2 51632
54306 3 2 72682
29165 2 1 0
49812 1 2 26347
58643 1 1 1
7851 1 1 43
67580 1 1 1
46403 3 1 19129
49879 4 1 61740
32174 4 2 81501
6581 4 2 82037
64046 3 1 1916
26649 4 1 67485
14567 1 1 19
61944 1 1 1
28803 3 1 21300
43355 4 2 80857
30795 1 1 1
11093 4 2 81841
17569 3 1 42194
62824 1 2 80385
42070 2 2 81729
2261 1 2 30777
26512 1 2 4921
28933 2 1 2376
40583 3 2 78466
29033 1 1 3
75868 1 1 2
73869 3 2 73870
56044 4 2 81375
71344 1 1 1
54245 1 2 75440
58557 4 1 2
16724 1 1 40
17087 2 2 59013
5482 2 2 5656
50952 4 1 69118
70448 1 1 1
33623 1 1 4
44602 3 1 0
68648 3 1 0
22207 3 2 80147
81554 3 1 8
59518 2 1 0
61440 4 2 80838
8210 4 2 82050
78279 1 1 1
72124 4 1 41810
64089 3 2 72298
3321 1 2 38216
78682 2 1 0
52893 1 1 2
66262 1 1 1
67411 2 2 -1
69569 4 2 -1
3744 3 2 77729
16977 1 1 6
34542 4 2 81755
78931 1 1 1
16715 2 1 466
19086 1 1 18
71425 3 1 2208
51649 3 1 11106
74637 2 1 11
76917 1 1 2
46619 3 2 81053
60058 1 2 80038
30373 3 2 81635
71975 2 1 208
28669 4 1 65889
2282 1 1 26
67534 2 1 41
74964 2 1 23
74878 3 1 3142
72982 4 1 4514
7461 4 1 69984
79285 3 2 54107
36268 3 1 19163
36788 2 2 -1
62493 4 2 80347
42849 4 1 72172
79003 4 1 4739
54312 3 1 466
15434 4 2 -1
75769 3 1 1830
66677 4 2 -1
45734 2 2 77934
40603 1 1 1
68803 1 2 -1
21312 1 1 9
44179 3 1 18538
40379 2 2 -1
44014 3 1 7637
47498 1 1 1
8767 1 2 18138
929 4 2 82004
17438 4 1 68564
42417 1 2 77248
42359 4 1 65623
70188 4 2 79192
7597 2 1 4695
72127 3 2 81324
77362 2 2 65450
79674 1 1 1
53161 1 2 79173
22052 2 2 75292
8036 3 1 35090
23173 4 2 82050
71675 1 1 1
25372 1 1 6
63918 2 2 -1
59500 4 2 80932
42261 4 1 59781
3236 1 1 1
1932 2 1 2208
5498 3 1 50608
64386 2 2 64388
56882 2 1 50
340 2 1 4521
62443 1 2 13337
138 3 2 79607
75250 1 2 -1
30654 4 1 70850
55778 1 1 2
64353 3 2 -1
63922 1 1 1
20219 2 2 59333
74965 1 2 33643
77988 3 1 0
18951 4 1 0
35428 4 2 -1
75774 4 1 10657
1140 2 1 6321
26421 1 1 1
19595 2 1 8
44789 3 1 11384
16859 1 1 10
1207 4 1 74039
66093 2 2 -1
13893 1 1 24
60011 4 2 81288
78405 3 1 451
72805 3 1 578
79063 3 1 142
51098 3 2 78906
68344 3 2 77849
36304 3 1 7040
69338 2 2 69337
18354 3 1 23822
28398 4 1 78315
53410 4 1 55486
48456 4 2 81277
8016 1 1 30
15072 4 2 81852
80018 3 2 65015
21826 3 1 39962
25518 2 1 1603
51919 2 2 75581
36188 2 1 206
36674 2 2 36694
22313 4 2 81883
276 4 2 81992
11944 4 1 73711
49847 2 1 451
56622 3 1 9033
10503 2 1 5191
11590 2 1 213
12866 1 2 61619
32792 1 1 1
42727 4 1 60732
7295 1 1 7
20131 3 2 81370
15038 4 1 54464
77064 2 2 72348
48511 4 2 81660
1381 3 1 64047
24322 2 2 54618
61388 1 2 12577
67628 1 1 0
74085 4 2 79847
80807 1 1 0
12449 2 2 -1
81253 4 2 81527
46092 4 1 0
68487 3 2 73759
70263 2 1 4
58394 2 1 172
23782 1 1 3
67904 1 1 5
22173 1 1 2
34324 3 1 554
